"A farmer kept track of his cows and hens by counting the legs and heads. If he counted 78 legs and 35 heads, how many cows did he have? ",4
"If 7 men can do a job in 6 days, how many men can do the work in 3 days? ",14
"If 4 workers can finish a job in 6 hours, what hours will it take for 6 workers to finish the same job? ",4
How many positive integers less than 1000 are divisible by either 5 or 13?,261
Gemma can type 350 words in 5 minutes. How many words can she type in ¾ of an hour? ,3150
Chester worked for 8 hours each day for 5 days. He earned P2190.00. How much did he earn per hour?,54.75
"Nine out of 12 pupils who study their lessons in Math get high grades. If 240 pupils in a school study their lessons, how many will get low grades?",60
"A club starts with 6 members. Beginning with the next meeting, each member is to bring 2 new members. If the procedure continues, how many will be present at the fourth meeting?",162
"A piece of work can be done in 40 days by 25 men. After 16 days, 13 men are transferred. In how many days can the remaining men finish the work?",50
A painter can paint a room in 12 hours. An apprentice can paint the same room in 24 hours. How long will it take them to paint the room together? ,8
